模拟路径,博弈论次,α,β,γ
路径11,184,0.514690521,0.209666953,0.303652253
路径11,211,0.436872662,0.175628984,0.231267237
路径11,237,0.387961612,0.153529682,0.168362642
路径11,263,0.29329585,0.170652186,0.03481668
路径11,289,0.224449505,0.153671161,0.032715364
路径11,316,0.172457939,0.199232924,0.023085863
路径11,342,0.131288224,0.071090458,0.052151887
路径11,368,0.234087411,0.028860872,0.08086039
路径11,394,0.156245951,0.037468415,0.058200069
路径11,421,0.180972016,0.065577358,0.029916167
路径11,447,0.119217411,0.040223351,0.028944216
路径11,473,0.203995275,0.033736733,0.009234735
路径11,500,0.209135957,0.128029013,0
路径12,1,0.2,0.5,0.5
路径12,27,0.151694585,0.569589356,0.410068905
路径12,53,0.0517398,0.644924513,0.368574899
路径12,79,0.094352443,0.555422562,0.490733173
路径12,106,0.098582191,0.458023292,0.428433936
路径12,132,0.097703225,0.459093309,0.445377219
路径12,158,0.179136837,0.446813189,0.437732696
路径12,184,0.251357679,0.488795697,0.404713958
路径12,211,0.197412596,0.340311846,0.44271214
路径12,237,0.276860603,0.368327954,0.4249115
路径12,263,0.140870734,0.392982095,0.324580942
路径12,289,0.125232504,0.382984727,0.190450289
路径12,316,0.053969574,0.314003849,0.068289385
路径12,342,0.004851295,0.28324933,0.058722969
路径12,368,0,0.235727728,0.05341326
路径12,394,0,0.159623449,0.018969169
路径12,421,0,0.174608187,0.011550336
路径12,447,0,0.089486785,0
路径12,473,0,0.038122832,0
路径12,500,0,0.017203179,0
路径13,1,0.2,0.5,0.5
路径13,27,0.159852342,0.603457126,0.408887986
路径13,53,0.121431935,0.456190626,0.275578503
路径13,79,0.179052878,0.408314573,0.257923018
路径13,106,0.10354208,0.331632012,0.188494034
路径13,132,0.132624259,0.21169406,0.119431188
路径13,158,0.113235782,0.142492195,0.092266475
路径13,184,0.012158257,0.045574634,0.049475548
路径13,211,0,0.005897088,0.0294082
路径13,237,0,0,0.014443015
路径13,263,0,0,0.007506864
路径13,289,0,0,0
路径13,316,0,0,0
路径13,342,0,0,0
路径13,368,0,0,0
路径13,394,0,0,0
路径13,421,0,0,0
路径13,447,0,0,0
路径13,473,0,0,0
路径13,500,0,0,0
路径14,1,0.2,0.5,0.5
路径14,27,0.181938245,0.447652428,0.400816054
路径14,53,0.180713363,0.345528311,0.37845998
路径14,79,0.187166698,0.238583971,0.351708222
路径14,106,0.170635157,0.16897194,0.336961722
路径14,132,0.164595688,0.138283781,0.327101339
路径14,158,0.276281389,0.084328127,0.267320775
路径14,184,0.430089902,0.051702896,0.282353071
路径14,211,0.377783203,0.100384076,0.214443139
路径14,237,0.432579115,0.07214406,0.185807306
路径14,263,0.413837576,0.106790536,0.072812473
路径14,289,0.348141799,0.161657775,0.026098205
路径14,316,0.247863561,0.07609645,0.047038488
路径14,342,0.228979498,0.059564452,0.024846407
路径14,368,0.310776373,0.125060945,0.034148621
路径14,394,0.273949549,0.149356455,0.012612234
路径14,421,0.311828982,0.117317182,0.003191037
路径14,447,0.268414069,0.140785795,0
路径14,473,0.349386724,0.080547728,0
路径14,500,0.254399379,0.111953054,0
路径15,1,0.2,0.5,0.5
路径15,27,0.188941869,0.473806315,0.34169835
路径15,53,0.21073825,0.454342882,0.286292448
路径15,79,0.259301132,0.254421797,0.304978894
路径15,106,0.200690699,0.144482377,0.251423021
路径15,132,0.161015811,0.192899433,0.27042137
路径15,158,0.303368878,0.168435688,0.19111764
路径15,184,0.322918293,0.12409635,0.154570532
路径15,211,0.229496562,0.083630148,0.188281467
路径15,237,0.154518189,0.1003901,0.126852829
路径15,263,0.078567366,0.089080429,0.133507401
路径15,289,0.105616339,0.072749059,0.131179826
路径15,316,0.093579394,0.074276347,0.138763494
路径15,342,0.11799854,0.079233836,0.192143432
路径15,368,0.127511808,0.099916898,0.21348791
路径15,394,0.090798337,0.069802334,0.234465638
路径15,421,0.03475793,0.071749065,0.220861516
路径15,447,0.011189216,0.083633762,0.209832561
路径15,473,0.019424054,0.086380254,0.074549405
路径15,500,0,0.012618104,0.109225733
路径16,1,0.2,0.5,0.5
路径16,27,0.289532619,0.496341027,0.427344612
路径16,53,0.24649233,0.506331822,0.608338399
路径16,79,0.247760208,0.45979808,0.447940545
路径16,106,0.239702557,0.453466587,0.411205762
路径16,132,0.305025246,0.363230264,0.344257192
路径16,158,0.403548896,0.353892742,0.264894302
路径16,184,0.18934881,0.28479413,0.208320537
路径16,211,0.370134365,0.272053506,0.268636865
路径16,237,0.428136607,0.239770672,0.263726118
路径16,263,0.391764433,0.192517451,0.128467359
路径16,289,0.435959377,0.127743494,0.035791375
路径16,316,0.432719807,0.080557357,0.007063773
路径16,342,0.492094255,0.034443122,0
路径16,368,0.539488108,0.049895078,0
路径16,394,0.564225267,0.077088968,0
路径16,421,0.57968582,0.089496693,0
路径16,447,0.660965115,0.081033239,0
路径16,473,0.560171345,0.05088829,0
路径16,500,0.634979047,0.024419969,0
路径17,1,0.2,0.5,0.5
路径17,27,0.069323055,0.388672026,0.463032026
路径17,53,0.093257731,0.539924915,0.458098906
路径17,79,0.101799964,0.485052844,0.380654302
路径17,106,0.099865148,0.424245038,0.427872029
路径17,132,0.113742893,0.384048901,0.350499683
路径17,158,0.163060455,0.494300189,0.30391063
路径17,184,0.203883007,0.451786918,0.287075774
路径17,211,0.161701389,0.450454183,0.190648919
路径17,237,0.099201857,0.40809515,0.104042229
路径17,263,0.187343562,0.345737958,0.076393005
路径17,289,0.175729248,0.316650554,0.087237366
路径17,316,0.271853232,0.238573882,0.043200919
路径17,342,0.285238179,0.305708309,0.071031537
路径17,368,0.248390928,0.348034059,0.142152847
路径17,394,0.363753605,0.167348362,0.089964005
路径17,421,0.392632354,0.219098118,0.083858488
路径17,447,0.395860775,0.14577741,0.043319092
路径17,473,0.407861729,0.099617093,0.139096434
路径17,500,0.340103735,0.056757811,0.147368909
路径18,1,0.2,0.5,0.5
路径18,27,0.127642808,0.32404376,0.375477151
路径18,53,0.113594586,0.256166709,0.225347504
路径18,79,0.135178184,0.35794739,0.260016136
路径18,106,0.125329697,0.313143597,0.321797128
路径18,132,0.129649856,0.214564829,0.310902459
路径18,158,0.169237412,0.175215048,0.237974957
路径18,184,0.122653023,0.105702976,0.336330525
路径18,211,0.162248185,0.100336016,0.356075691
路径18,237,0.124108586,0.103248946,0.262551458
路径18,263,0.058643091,0.143510756,0.146662045
路径18,289,0.082626102,0.17099076,0.177058792
路径18,316,0.044187039,0.155575327,0.093371981
路径18,342,0.08960721,0.180029962,0.138374279
路径18,368,0.082271095,0.141644726,0.049861392
路径18,394,0.051424765,0.085500271,0.010647264
路径18,421,0.057257017,0.061756028,0.034700645
路径18,447,0.027845134,0.026971497,0.02831884
路径18,473,0.001619008,0.001820008,0.006379093
路径18,500,0,0,0.020192833
路径19,1,0.2,0.5,0.5
路径19,27,0.122774981,0.469236565,0.535645948
路径19,53,0.060015654,0.430461099,0.362725787
路径19,79,0.002672537,0.343479738,0.36814536
路径19,106,0,0.273028965,0.229977242
路径19,132,0,0.347285765,0.173099778
路径19,158,0,0.225179038,0.093745271
路径19,184,0,0.173896971,0.033000653
路径19,211,0,0.187653099,0.00829113
路径19,237,0,0.135946548,0.029497865
路径19,263,0,0.081457647,0.041797365
路径19,289,0,0.1374006,0.064619301
路径19,316,0,0.123427293,0.029505372
路径19,342,0,0.065905051,0.014748765
路径19,368,0,0.011789144,0.023774669
路径19,394,0,0,0
路径19,421,0,0,0
